offset,treeDepth,rootNode,leafRecords,firstLeafNode,lastLeafNode,nodeSize,maxKeyLength,totalNodes,freeNodes,reserved1,clumpSize,btreeType,keyCompareType,attributes,
4986368,4,26201,3104426,28056,40832,8192,516,131072,40544,0,268435456,0,207,6,
5260800,4,26201,3104426,28056,40832,8192,516,131072,40544,0,268435456,0,207,6,
5469696,4,26201,3104428,28056,40832,8192,516,131072,40544,0,268435456,0,207,6,
5993984,4,26201,3104428,28056,40832,8192,516,131072,40544,0,268435456,0,207,6,
6170112,4,26201,3104428,28056,40832,8192,516,131072,40544,0,268435456,0,207,6,
6534656,4,26201,3104428,28056,40832,8192,516,131072,40544,0,268435456,0,207,6,
6776320,4,26201,3104428,28056,40832,8192,516,131072,40544,0,268435456,0,207,6,
7149056,4,26201,3104428,28056,40832,8192,516,131072,40544,0,268435456,0,207,6,
7435776,4,26201,3104428,28056,40832,8192,516,131072,40544,0,268435456,0,207,6,
7632384,4,26201,3104428,28056,40832,8192,516,131072,40544,0,268435456,0,207,6,
7890432,4,26201,3104428,28056,40832,8192,516,131072,40544,0,268435456,0,207,6,
8128000,4,26201,3104428,28056,40832,8192,516,131072,40544,0,268435456,0,207,6,
8427008,4,26201,3104428,28056,40832,8192,516,131072,40544,0,268435456,0,207,6,
8640000,4,26201,3104428,28056,40832,8192,516,131072,40544,0,268435456,0,207,6,
8947200,4,26201,3104428,28056,40832,8192,516,131072,40544,0,268435456,0,207,6,
9393664,4,26201,3104428,28056,40832,8192,516,131072,40544,0,268435456,0,207,6,
9905664,4,26201,3104436,28056,40832,8192,516,131072,40544,0,268435456,0,207,6,
10597888,4,26201,3104428,28056,40832,8192,516,131072,40544,0,268435456,0,207,6,
731136,4,26201,3104426,28056,40832,8192,516,131072,40544,0,268435456,0,207,6,
952320,4,26201,3104428,28056,40832,8192,516,131072,40544,0,268435456,0,207,6,
1247232,4,26201,3104428,28056,40832,8192,516,131072,40544,0,268435456,0,207,6,
1497088,4,26201,3104428,28056,40832,8192,516,131072,40544,0,268435456,0,207,6,
2029568,4,26201,3104428,28056,40832,8192,516,131072,40544,0,268435456,0,207,6,
2222080,4,26201,3104428,28056,40832,8192,516,131072,40544,0,268435456,0,207,6,
2754560,4,26201,3104454,28056,40832,8192,516,131072,40544,0,268435456,0,207,6,
3041280,4,26201,3104480,28056,40832,8192,516,131072,40543,0,268435456,0,207,6,
3291136,4,26201,3104508,28056,40832,8192,516,131072,40543,0,268435456,0,207,6,
3635200,4,26201,3104508,28056,40832,8192,516,131072,40543,0,268435456,0,207,6,
3864576,4,26201,3104508,28056,40832,8192,516,131072,40543,0,268435456,0,207,6,
