offset,treeDepth,rootNode,leafRecords,firstLeafNode,lastLeafNode,nodeSize,maxKeyLength,totalNodes,freeNodes,reserved1,clumpSize,btreeType,keyCompareType,attributes,
6407680,2,3,2604,8,65,4096,10,2816,2725,0,11534336,0,0,2,
8762880,2,3,2605,8,65,4096,10,2816,2725,0,11534336,0,0,2,
2271232,2,3,2606,8,65,4096,10,2816,2725,0,11534336,0,0,2,
2799616,2,3,2607,8,65,4096,10,2816,2725,0,11534336,0,0,2,
3131392,2,3,2608,8,65,4096,10,2816,2725,0,11534336,0,0,2,
3418112,2,3,2610,8,65,4096,10,2816,2725,0,11534336,0,0,2,
