offset,keyLength,parentID,nodeName/nameLen,nodeName/nodeUnicode,nodeNumber,
10638862,,,,,17771,
10638904,,,,,17606,
10638952,,,,,40007,
10638964,,,,,12072,
10638994,,,,,87781,
10639024,,,,,40019,
10639054,,,,,22770,
10639084,,,,,88669,
10639114,,,,,88670,
10639156,,,,,39357,
10639186,,,,,17723,
10639198,,,,,17614,
10639210,,,,,86464,
10639404,,,,,76843,
10639534,,,,,17615,
10639546,,,,,40375,
10639582,,,,,17620,
10639610,,,,,197,
10639624,,,,,17633,
10639652,,,,,168,
10639680,,,,,17618,
10639692,,,,,94,
10639728,,,,,17630,
10639758,,,,,17619,
10639788,,,,,77,
10639800,,,,,17624,
10639812,,,,,17621,
10639824,,,,,17631,
10639854,,,,,17622,
10639884,,,,,17628,
10639914,,,,,67450,
10639926,,,,,17623,
10639938,,,,,17625,
10639992,,,,,17626,
10640004,,,,,17627,
10640016,,,,,17629,
10640070,,,,,17632,
10640082,,,,,17634,
10640094,,,,,17635,
10640106,,,,,17636,
10640160,,,,,17644,
10640172,,,,,17637,
10640252,,,,,12133,
10640336,,,,,17638,
10640420,,,,,12400,
10640432,,,,,17645,
10640444,,,,,88914,
10640482,,,,,88915,
10640522,,,,,17641,
10640534,,,,,21779,
10640556,,,,,17643,
10640582,,,,,883,
10640646,,,,,86608,
10640770,,,,,22591,
10640882,,,,,17647,
10640944,,,,,17649,
10640992,,,,,3038,
10641040,,,,,17653,
10641070,,,,,17651,
10641098,,,,,17652,
10641144,,,,,17654,
10641190,,,,,87021,
10641236,,,,,610,
10641282,,,,,40785,
10641306,,,,,17742,
10641370,,,,,40783,
10641404,,,,,12484,
10641492,,,,,40432,
10641576,,,,,17725,
10641636,,,,,12394,
10641736,,,,,88903,
10641838,,,,,733,
10641912,,,,,732,
10641998,,,,,17822,
10642070,,,,,656,
10642166,,,,,12087,
10642216,,,,,83912,
10642228,,,,,17730,
10642262,,,,,17655,
10642274,,,,,17656,
10642286,,,,,17856,
10642314,,,,,40778,
10642368,,,,,88897,
10642504,,,,,17709,
10642644,,,,,40257,
10642774,,,,,17821,
10642786,,,,,17668,
2775054,,,,,18462,
2775066,,,,,18457,
2775086,,,,,18459,
2775176,,,,,18463,
2775188,,,,,18473,
2775246,,,,,68135,
2775258,,,,,18639,
2775294,,,,,64038,
2775350,,,,,18804,
2775408,,,,,18657,
2775470,,,,,18690,
2775498,,,,,40283,
2775558,,,,,40287,
2775588,,,,,40295,
2775642,,,,,42585,
2775670,,,,,40834,
2775706,,,,,40839,
2775732,,,,,40833,
2775770,,,,,40408,
2775798,,,,,40831,
2775820,,,,,40493,
2775848,,,,,40830,
2775860,,,,,40790,
2775884,,,,,40823,
2775910,,,,,40829,
2775944,,,,,42587,
2775986,,,,,45499,
2776014,,,,,42590,
2776060,,,,,42598,
2776114,,,,,47461,
2776152,,,,,47466,
2776164,,,,,47520,
2776192,,,,,67538,
2776218,,,,,67978,
2776264,,,,,68069,
