offset,signature,version,attributes,lastMountedVersion,journalInfoBlock,createDate,modifyDate,backupDate,checkedDate,fileCount,folderCount,blockSize,totalBlocks,freeBlocks,nextAllocation,rsrcClumpSize,dataClumpSize,nextCatalogID,writeCount,encodingsBitmap,finderInfo,allocationFile/logicalSize,allocationFile/clumpSize,allocationFile/totalBlocks,allocationFile/extents/extent0/startBlock,allocationFile/extents/extent0/blockCount,allocationFile/extents/extent1/startBlock,allocationFile/extents/extent1/blockCount,allocationFile/extents/extent2/startBlock,allocationFile/extents/extent2/blockCount,allocationFile/extents/extent3/startBlock,allocationFile/extents/extent3/blockCount,allocationFile/extents/extent4/startBlock,allocationFile/extents/extent4/blockCount,allocationFile/extents/extent5/startBlock,allocationFile/extents/extent5/blockCount,allocationFile/extents/extent6/startBlock,allocationFile/extents/extent6/blockCount,allocationFile/extents/extent7/startBlock,allocationFile/extents/extent7/blockCount,extentsFile/logicalSize,extentsFile/clumpSize,extentsFile/totalBlocks,extentsFile/extents/extent0/startBlock,extentsFile/extents/extent0/blockCount,extentsFile/extents/extent1/startBlock,extentsFile/extents/extent1/blockCount,extentsFile/extents/extent2/startBlock,extentsFile/extents/extent2/blockCount,extentsFile/extents/extent3/startBlock,extentsFile/extents/extent3/blockCount,extentsFile/extents/extent4/startBlock,extentsFile/extents/extent4/blockCount,extentsFile/extents/extent5/startBlock,extentsFile/extents/extent5/blockCount,extentsFile/extents/extent6/startBlock,extentsFile/extents/extent6/blockCount,extentsFile/extents/extent7/startBlock,extentsFile/extents/extent7/blockCount,catalogFile/logicalSize,catalogFile/clumpSize,catalogFile/totalBlocks,catalogFile/extents/extent0/startBlock,catalogFile/extents/extent0/blockCount,catalogFile/extents/extent1/startBlock,catalogFile/extents/extent1/blockCount,catalogFile/extents/extent2/startBlock,catalogFile/extents/extent2/blockCount,catalogFile/extents/extent3/startBlock,catalogFile/extents/extent3/blockCount,catalogFile/extents/extent4/startBlock,catalogFile/extents/extent4/blockCount,catalogFile/extents/extent5/startBlock,catalogFile/extents/extent5/blockCount,catalogFile/extents/extent6/startBlock,catalogFile/extents/extent6/blockCount,catalogFile/extents/extent7/startBlock,catalogFile/extents/extent7/blockCount,attributesFile/logicalSize,attributesFile/clumpSize,attributesFile/totalBlocks,attributesFile/extents/extent0/startBlock,attributesFile/extents/extent0/blockCount,attributesFile/extents/extent1/startBlock,attributesFile/extents/extent1/blockCount,attributesFile/extents/extent2/startBlock,attributesFile/extents/extent2/blockCount,attributesFile/extents/extent3/startBlock,attributesFile/extents/extent3/blockCount,attributesFile/extents/extent4/startBlock,attributesFile/extents/extent4/blockCount,attributesFile/extents/extent5/startBlock,attributesFile/extents/extent5/blockCount,attributesFile/extents/extent6/startBlock,attributesFile/extents/extent6/blockCount,attributesFile/extents/extent7/startBlock,attributesFile/extents/extent7/blockCount,startupFile/logicalSize,startupFile/clumpSize,startupFile/totalBlocks,startupFile/extents/extent0/startBlock,startupFile/extents/extent0/blockCount,startupFile/extents/extent1/startBlock,startupFile/extents/extent1/blockCount,startupFile/extents/extent2/startBlock,startupFile/extents/extent2/blockCount,startupFile/extents/extent3/startBlock,startupFile/extents/extent3/blockCount,startupFile/extents/extent4/startBlock,startupFile/extents/extent4/blockCount,startupFile/extents/extent5/startBlock,startupFile/extents/extent5/blockCount,startupFile/extents/extent6/startBlock,startupFile/extents/extent6/blockCount,startupFile/extents/extent7/startBlock,startupFile/extents/extent7/blockCount,
5088256,18475,4,2147491840,1212568394,57,3507509441,3507583319,0,3507477041,13122,523,4096,1806646,1262334,5180,65536,65536,13814,65333,9,"(0, 0, 0, 0, 0, 0, 263102905, 2337426865)",229376,229376,56,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4194304,4194304,1024,2106,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8388608,8388608,2048,25658,2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8388608,8388608,2048,3130,2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5301760,18475,4,2147491840,1212568394,57,3507509441,3507583340,0,3507477041,13121,523,4096,1806646,1402462,5180,65536,65536,13814,65333,9,"(0, 0, 0, 0, 0, 0, 263102905, 2337426865)",229376,229376,56,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4194304,4194304,1024,2106,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8388608,8388608,2048,25658,2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8388608,8388608,2048,3130,2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5445632,18475,4,2147491840,1212568394,57,3507509441,3507583393,0,3507477041,13121,523,4096,1806646,1402462,5183,65536,65536,13814,65337,9,"(0, 0, 0, 0, 0, 0, 263102905, 2337426865)",229376,229376,56,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4194304,4194304,1024,2106,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8388608,8388608,2048,25658,2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8388608,8388608,2048,3130,2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5577216,18475,4,2147491840,1212568394,57,3507509441,3507583393,0,3507477041,13121,523,4096,1806646,1402462,5184,65536,65536,13814,65339,9,"(0, 0, 0, 0, 0, 0, 263102905, 2337426865)",229376,229376,56,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4194304,4194304,1024,2106,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8388608,8388608,2048,25658,2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8388608,8388608,2048,3130,2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5798912,18475,4,2147491840,1212568394,57,3507509441,3507583422,0,3507477041,13121,523,4096,1806646,1402462,5184,65536,65536,13814,65342,9,"(0, 0, 0, 0, 0, 0, 263102905, 2337426865)",229376,229376,56,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4194304,4194304,1024,2106,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8388608,8388608,2048,25658,2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8388608,8388608,2048,3130,2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5910016,18475,4,2147491840,1212568394,57,3507509441,3507601060,0,3507477041,13123,523,4096,1806646,1402459,27708,65536,65536,13816,65355,9,"(0, 0, 0, 0, 0, 0, 263102905, 2337426865)",229376,229376,56,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4194304,4194304,1024,2106,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8388608,8388608,2048,25658,2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8388608,8388608,2048,3130,2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6057984,18475,4,2147492096,1212568394,57,3507509441,3507601060,0,3507477041,13123,523,4096,1806646,1402459,27708,65536,65536,13816,65355,9,"(0, 0, 0, 0, 0, 0, 263102905, 2337426865)",229376,229376,56,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4194304,4194304,1024,2106,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8388608,8388608,2048,25658,2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8388608,8388608,2048,3130,2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6156800,18475,4,2147491840,1212568394,57,3507509441,3507601512,0,3507477041,13124,523,4096,1806646,1402459,27708,65536,65536,13817,65357,9,"(0, 0, 0, 0, 0, 0, 263102905, 2337426865)",229376,229376,56,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4194304,4194304,1024,2106,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8388608,8388608,2048,25658,2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8388608,8388608,2048,3130,2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6345728,18475,4,2147491840,1212568394,57,3507509441,3507601755,0,3507477041,13124,523,4096,1806646,1402459,27708,65536,65536,13817,65358,9,"(0, 0, 0, 0, 0, 0, 263102905, 2337426865)",229376,229376,56,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4194304,4194304,1024,2106,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8388608,8388608,2048,25658,2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8388608,8388608,2048,3130,2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6460928,18475,4,2147491840,1212568394,57,3507509441,3507608230,0,3507477041,13124,523,4096,1806646,1402459,27709,65536,65536,13817,65360,9,"(0, 0, 0, 0, 0, 0, 263102905, 2337426865)",229376,229376,56,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4194304,4194304,1024,2106,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8388608,8388608,2048,25658,2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8388608,8388608,2048,3130,2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
