keyLength,parentID,nodeName,recordType,flags,reserved1,fileID,createDate,contentModDate,attributeModDate,accessDate,backupDate,permissions,userInfo,finderInfo,textEncoding,reserved2,dataFork,resourceFork,valence,folderID,reserved,
34,8128582,Attributes.csv,2,130,0,8128585,3507213608,3507213847,3507213847,3507213608,0,BSDInfo(ownerID=0  groupID=20  adminFlags=0  ownerFlags=0  fileMode=33188  special=1),FileInfo(fileType=0  fileCreator=0  finderFlags=0  location=Point(v=0  h=0)  reservedField=0),ExtendedFileInfo(reserved1=(0  0  21734  9384)  extendedFinderFlags=0  reserved2=0  putAwayFolderID=158),0,0,ForkData(logicalSize=641225  clumpSize=0  totalBlocks=157  extents=ExtentsDataRec(extent0=ExtentDescriptor(startBlock=7848287  blockCount=17)  extent1=ExtentDescriptor(startBlock=7848785  blockCount=16)  extent2=ExtentDescriptor(startBlock=7848949  blockCount=15)  extent3=ExtentDescriptor(startBlock=7849373  blockCount=20)  extent4=ExtentDescriptor(startBlock=7849603  blockCount=23)  extent5=ExtentDescriptor(startBlock=7849885  blockCount=21)  extent6=ExtentDescriptor(startBlock=7852780  blockCount=22)  extent7=ExtentDescriptor(startBlock=7853440  blockCount=23))),ForkData(logicalSize=0  clumpSize=0  totalBlocks=0  extents=ExtentsDataRec(extent0=ExtentDescriptor(startBlock=0  blockCount=0)  extent1=ExtentDescriptor(startBlock=0  blockCount=0)  extent2=ExtentDescriptor(startBlock=0  blockCount=0)  extent3=ExtentDescriptor(startBlock=0  blockCount=0)  extent4=ExtentDescriptor(startBlock=0  blockCount=0)  extent5=ExtentDescriptor(startBlock=0  blockCount=0)  extent6=ExtentDescriptor(startBlock=0  blockCount=0)  extent7=ExtentDescriptor(startBlock=0  blockCount=0))),,,,
28,8128582,Catalog.csv,2,130,0,8128583,3507213608,3507213847,3507213847,3507214018,0,BSDInfo(ownerID=0  groupID=20  adminFlags=0  ownerFlags=0  fileMode=33188  special=1),FileInfo(fileType=0  fileCreator=0  finderFlags=0  location=Point(v=0  h=0)  reservedField=0),ExtendedFileInfo(reserved1=(0  0  21734  9384)  extendedFinderFlags=0  reserved2=0  putAwayFolderID=22702),0,0,ForkData(logicalSize=92981178  clumpSize=0  totalBlocks=22701  extents=ExtentsDataRec(extent0=ExtentDescriptor(startBlock=37112143  blockCount=13091)  extent1=ExtentDescriptor(startBlock=37214868  blockCount=8798)  extent2=ExtentDescriptor(startBlock=37369751  blockCount=812)  extent3=ExtentDescriptor(startBlock=0  blockCount=0)  extent4=ExtentDescriptor(startBlock=0  blockCount=0)  extent5=ExtentDescriptor(startBlock=0  blockCount=0)  extent6=ExtentDescriptor(startBlock=0  blockCount=0)  extent7=ExtentDescriptor(startBlock=0  blockCount=0))),ForkData(logicalSize=0  clumpSize=0  totalBlocks=0  extents=ExtentsDataRec(extent0=ExtentDescriptor(startBlock=0  blockCount=0)  extent1=ExtentDescriptor(startBlock=0  blockCount=0)  extent2=ExtentDescriptor(startBlock=0  blockCount=0)  extent3=ExtentDescriptor(startBlock=0  blockCount=0)  extent4=ExtentDescriptor(startBlock=0  blockCount=0)  extent5=ExtentDescriptor(startBlock=0  blockCount=0)  extent6=ExtentDescriptor(startBlock=0  blockCount=0)  extent7=ExtentDescriptor(startBlock=0  blockCount=0))),,,,
28,8128582,Extents.csv,2,130,0,8128584,3507213608,3507213847,3507213847,3507213608,0,BSDInfo(ownerID=0  groupID=20  adminFlags=0  ownerFlags=0  fileMode=33188  special=1),FileInfo(fileType=0  fileCreator=0  finderFlags=0  location=Point(v=0  h=0)  reservedField=0),ExtendedFileInfo(reserved1=(0  0  21734  9384)  extendedFinderFlags=0  reserved2=0  putAwayFolderID=105),0,0,ForkData(logicalSize=423976  clumpSize=0  totalBlocks=104  extents=ExtentsDataRec(extent0=ExtentDescriptor(startBlock=7848304  blockCount=10)  extent1=ExtentDescriptor(startBlock=7848848  blockCount=16)  extent2=ExtentDescriptor(startBlock=7848930  blockCount=9)  extent3=ExtentDescriptor(startBlock=7849160  blockCount=9)  extent4=ExtentDescriptor(startBlock=7849177  blockCount=11)  extent5=ExtentDescriptor(startBlock=7849393  blockCount=13)  extent6=ExtentDescriptor(startBlock=7850423  blockCount=15)  extent7=ExtentDescriptor(startBlock=7850449  blockCount=13))),ForkData(logicalSize=0  clumpSize=0  totalBlocks=0  extents=ExtentsDataRec(extent0=ExtentDescriptor(startBlock=0  blockCount=0)  extent1=ExtentDescriptor(startBlock=0  blockCount=0)  extent2=ExtentDescriptor(startBlock=0  blockCount=0)  extent3=ExtentDescriptor(startBlock=0  blockCount=0)  extent4=ExtentDescriptor(startBlock=0  blockCount=0)  extent5=ExtentDescriptor(startBlock=0  blockCount=0)  extent6=ExtentDescriptor(startBlock=0  blockCount=0)  extent7=ExtentDescriptor(startBlock=0  blockCount=0))),,,,
26,8128582,sqlite3.db,2,130,0,8128662,3507213847,3507213847,3507213847,3507213847,0,BSDInfo(ownerID=0  groupID=20  adminFlags=0  ownerFlags=0  fileMode=33188  special=1),FileInfo(fileType=0  fileCreator=0  finderFlags=0  location=Point(v=0  h=0)  reservedField=0),ExtendedFileInfo(reserved1=(0  0  21734  9623)  extendedFinderFlags=0  reserved2=0  putAwayFolderID=1),0,0,ForkData(logicalSize=0  clumpSize=0  totalBlocks=0  extents=ExtentsDataRec(extent0=ExtentDescriptor(startBlock=0  blockCount=0)  extent1=ExtentDescriptor(startBlock=0  blockCount=0)  extent2=ExtentDescriptor(startBlock=0  blockCount=0)  extent3=ExtentDescriptor(startBlock=0  blockCount=0)  extent4=ExtentDescriptor(startBlock=0  blockCount=0)  extent5=ExtentDescriptor(startBlock=0  blockCount=0)  extent6=ExtentDescriptor(startBlock=0  blockCount=0)  extent7=ExtentDescriptor(startBlock=0  blockCount=0))),ForkData(logicalSize=0  clumpSize=0  totalBlocks=0  extents=ExtentsDataRec(extent0=ExtentDescriptor(startBlock=0  blockCount=0)  extent1=ExtentDescriptor(startBlock=0  blockCount=0)  extent2=ExtentDescriptor(startBlock=0  blockCount=0)  extent3=ExtentDescriptor(startBlock=0  blockCount=0)  extent4=ExtentDescriptor(startBlock=0  blockCount=0)  extent5=ExtentDescriptor(startBlock=0  blockCount=0)  extent6=ExtentDescriptor(startBlock=0  blockCount=0)  extent7=ExtentDescriptor(startBlock=0  blockCount=0))),,,,
,8128582,Catalog.csv,4,,,8128583,,,,,,,,,,,,,,,0,
,8128582,Extents.csv,4,,,8128584,,,,,,,,,,,,,,,0,
,8128582,Attributes.csv,4,,,8128585,,,,,,,,,,,,,,,0,
,8128582,sqlite3.db,4,,,8128662,,,,,,,,,,,,,,,0,
,8118900,Output.pyc,4,,,8128673,,,,,,,,,,,,,,,0,
,8118900,result2015-02-20-030458,3,,,,,,,,,,,,,,,,,8128675,0,
