keyLength,pad,fileID,startBlock,attrNameLen,attrName,recordType,reserved,theFork/logicalSize,theFork/clumpSize,theFork/totalBlocks,theFork/extents/extent0/startBlock,theFork/extents/extent0/blockCount,theFork/extents/extent1/startBlock,theFork/extents/extent1/blockCount,theFork/extents/extent2/startBlock,theFork/extents/extent2/blockCount,theFork/extents/extent3/startBlock,theFork/extents/extent3/blockCount,theFork/extents/extent4/startBlock,theFork/extents/extent4/blockCount,theFork/extents/extent5/startBlock,theFork/extents/extent5/blockCount,theFork/extents/extent6/startBlock,theFork/extents/extent6/blockCount,theFork/extents/extent7/startBlock,theFork/extents/extent7/blockCount,extents/extent0/startBlock,extents/extent0/blockCount,extents/extent1/startBlock,extents/extent1/blockCount,extents/extent2/startBlock,extents/extent2/blockCount,extents/extent3/startBlock,extents/extent3/blockCount,extents/extent4/startBlock,extents/extent4/blockCount,extents/extent5/startBlock,extents/extent5/blockCount,extents/extent6/startBlock,extents/extent6/blockCount,extents/extent7/startBlock,extents/extent7/blockCount,attrSize,attrData/__name__,attrData/data,
52,0,8253775,0,20,com.apple.quarantine,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,attrData,(48"," 48"," 48"," 48"," 59"," 53"," 52"," 101"," 56"," 99"," 101"," 56"," 56"," 59"," 67"," 104"," 114"," 111"," 109"," 101"," 59),
52,0,8253823,0,20,com.apple.quarantine,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,attrData,(48"," 48"," 48"," 48"," 59"," 53"," 52"," 101"," 56"," 99"," 101"," 56"," 57"," 59"," 67"," 104"," 114"," 111"," 109"," 101"," 59),
52,0,8253840,0,20,com.apple.quarantine,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,attrData,(48"," 48"," 48"," 48"," 59"," 53"," 52"," 101"," 56"," 99"," 101"," 56"," 98"," 59"," 67"," 104"," 114"," 111"," 109"," 101"," 59),
52,0,8253855,0,20,com.apple.quarantine,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,attrData,(48"," 48"," 48"," 48"," 59"," 53"," 52"," 101"," 56"," 99"," 101"," 56"," 99"," 59"," 67"," 104"," 114"," 111"," 109"," 101"," 59),
52,0,8253858,0,20,com.apple.quarantine,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,attrData,(48"," 48"," 48"," 48"," 59"," 53"," 52"," 101"," 56"," 99"," 101"," 56"," 99"," 59"," 67"," 104"," 114"," 111"," 109"," 101"," 59),
52,0,8254008,0,20,com.apple.quarantine,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,attrData,(48"," 48"," 48"," 48"," 59"," 53"," 52"," 101"," 56"," 99"," 101"," 57"," 57"," 59"," 67"," 104"," 114"," 111"," 109"," 101"," 59),
52,0,8254013,0,20,com.apple.quarantine,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,attrData,(48"," 48"," 48"," 48"," 59"," 53"," 52"," 101"," 56"," 99"," 101"," 57"," 97"," 59"," 67"," 104"," 114"," 111"," 109"," 101"," 59),
52,0,8254021,0,20,com.apple.quarantine,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,attrData,(48"," 48"," 48"," 48"," 59"," 53"," 52"," 101"," 56"," 99"," 101"," 57"," 97"," 59"," 67"," 104"," 114"," 111"," 109"," 101"," 59),
52,0,8254036,0,20,com.apple.quarantine,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,attrData,(48"," 48"," 48"," 48"," 59"," 53"," 52"," 101"," 56"," 99"," 101"," 57"," 97"," 59"," 67"," 104"," 114"," 111"," 109"," 101"," 59),
52,0,8254051,0,20,com.apple.quarantine,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,attrData,(48"," 48"," 48"," 48"," 59"," 53"," 52"," 101"," 56"," 99"," 101"," 57"," 97"," 59"," 67"," 104"," 114"," 111"," 109"," 101"," 59),
52,0,8254068,0,20,com.apple.quarantine,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,attrData,(48"," 48"," 48"," 48"," 59"," 53"," 52"," 101"," 56"," 99"," 101"," 57"," 98"," 59"," 67"," 104"," 114"," 111"," 109"," 101"," 59),
52,0,8254170,0,20,com.apple.quarantine,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,attrData,(48"," 48"," 48"," 48"," 59"," 53"," 52"," 101"," 56"," 99"," 101"," 97"," 98"," 59"," 67"," 104"," 114"," 111"," 109"," 101"," 59),
52,0,8254275,0,20,com.apple.quarantine,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,attrData,(48"," 48"," 48"," 48"," 59"," 53"," 52"," 101"," 56"," 99"," 101"," 98"," 52"," 59"," 67"," 104"," 114"," 111"," 109"," 101"," 59),
52,0,8254348,0,20,com.apple.quarantine,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,attrData,(48"," 48"," 48"," 48"," 59"," 53"," 52"," 101"," 56"," 99"," 101"," 98"," 54"," 59"," 67"," 104"," 114"," 111"," 109"," 101"," 59),
52,0,8254386,0,20,com.apple.quarantine,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,attrData,(48"," 48"," 48"," 48"," 59"," 53"," 52"," 101"," 56"," 99"," 101"," 98"," 56"," 59"," 67"," 104"," 114"," 111"," 109"," 101"," 59),
