offset,treeDepth,rootNode,leafRecords,firstLeafNode,lastLeafNode,nodeSize,maxKeyLength,totalNodes,freeNodes,reserved1,clumpSize,btreeType,keyCompareType,attributes,
6685184,4,26201,3104188,28056,40832,8192,516,131072,40549,0,268435456,0,207,6,
6951424,4,26201,3104188,28056,40832,8192,516,131072,40549,0,268435456,0,207,6,
7221760,4,26201,3104184,28056,40832,8192,516,131072,40549,0,268435456,0,207,6,
8016384,4,26201,3104180,28056,40832,8192,516,131072,40548,0,268435456,0,207,6,
8995328,4,26201,3104180,28056,40832,8192,516,131072,40548,0,268435456,0,207,6,
9327104,4,26201,3104180,28056,40832,8192,516,131072,40548,0,268435456,0,207,6,
9691648,4,26201,3104180,28056,40832,8192,516,131072,40548,0,268435456,0,207,6,
10039808,4,26201,3104180,28056,40832,8192,516,131072,40548,0,268435456,0,207,6,
10387968,4,26201,3104180,28056,40832,8192,516,131072,40548,0,268435456,0,207,6,
246784,4,26201,3104180,28056,40832,8192,516,131072,40548,0,268435456,0,207,6,
717824,4,26201,3104180,28056,40832,8192,516,131072,40548,0,268435456,0,207,6,
1082368,4,26201,3104180,28056,40832,8192,516,131072,40548,0,268435456,0,207,6,
1647616,4,26201,3104180,28056,40832,8192,516,131072,40548,0,268435456,0,207,6,
2110464,4,26201,3104180,28056,40832,8192,516,131072,40548,0,268435456,0,207,6,
2413568,4,26201,3104180,28056,40832,8192,516,131072,40548,0,268435456,0,207,6,
2634752,4,26201,3104180,28056,40832,8192,516,131072,40548,0,268435456,0,207,6,
2814976,4,26201,3104178,28056,40832,8192,516,131072,40548,0,268435456,0,207,6,
3228672,4,26201,3104180,28056,40832,8192,516,131072,40548,0,268435456,0,207,6,
3478528,4,26201,3104180,28056,40832,8192,516,131072,40548,0,268435456,0,207,6,
3675136,4,26201,3104180,28056,40832,8192,516,131072,40548,0,268435456,0,207,6,
3896320,4,26201,3104180,28056,40832,8192,516,131072,40548,0,268435456,0,207,6,
4150272,4,26201,3104180,28056,40832,8192,516,131072,40548,0,268435456,0,207,6,
4338688,4,26201,3104180,28056,40832,8192,516,131072,40548,0,268435456,0,207,6,
4617216,4,26201,3104180,28056,40832,8192,516,131072,40548,0,268435456,0,207,6,
5043200,4,26201,3104180,28056,40832,8192,516,131072,40548,0,268435456,0,207,6,
5559296,4,26201,3104182,28056,40832,8192,516,131072,40548,0,268435456,0,207,6,
5882880,4,26201,3104182,28056,40832,8192,516,131072,40548,0,268435456,0,207,6,
