offset,keyLength,forkType,pad,fileID,startBlock,nodeNumber,
484366,10,0,0,402815,33,8,
484382,10,0,0,407247,948,96,
484398,10,0,0,407786,1289,27,
484414,10,0,0,408683,11,48,
484430,10,0,0,410900,219,56,
484446,10,0,0,638080,672,15,
484462,10,0,0,795960,625,68,
484478,10,0,0,1196331,341,46,
484494,10,0,0,1196999,50,40,
484510,10,0,0,1199436,480,73,
484526,10,0,0,1199659,51,13,
484542,10,0,0,1200073,2644,18,
484558,10,0,0,1200073,29357,66,
484574,10,0,0,1200073,86693,38,
484590,10,0,0,1434760,38,14,
484606,10,0,0,1483266,864,7,
484622,10,0,0,1483452,1472,4,
484638,10,0,0,1512805,1037,5,
484654,10,0,0,1544835,837,9,
484670,10,0,0,1582853,67,12,
484686,10,0,0,2032360,171,17,
484702,10,0,0,2618791,370,6,
484718,10,0,0,2618791,1855,20,
484734,10,0,0,2618791,6348,42,
484750,10,0,0,2618791,8978,44,
484766,10,0,0,2618791,9774,41,
484782,10,0,0,2618791,10332,45,
484798,10,0,0,2618791,10867,47,
484814,10,0,0,2618791,11559,49,
484830,10,0,0,2618791,12262,16,
484846,10,0,0,2830693,35,21,
484862,10,0,0,3115031,8449,24,
484878,10,0,0,3228504,8132,19,
484894,10,0,0,3260872,116225,30,
484910,10,0,0,3482647,13,32,
484926,10,0,0,3634591,97,1,
484942,10,0,0,3636366,38,35,
484958,10,0,0,3636456,2851,11,
484974,10,0,0,4191345,22,28,
484990,10,0,0,4193707,411648,43,
485006,10,0,0,4228744,349573,52,
485022,10,0,0,4248376,214,51,
485038,10,0,0,4248376,1595,39,
485054,10,0,0,4248376,4945,29,
485070,10,0,0,4248376,5978,34,
485086,10,0,0,4248376,6530,54,
485102,10,0,0,4306998,288,57,
485118,10,0,0,4306999,256,58,
485134,10,0,0,4361894,76289,60,
485150,10,0,0,4389458,99841,59,
485166,10,0,0,4403562,47,31,
485182,10,0,0,4532913,25856,22,
485198,10,0,0,4536011,84480,62,
485214,10,0,0,4599965,21,55,
485230,10,0,0,4608893,104448,64,
485246,10,0,0,4658772,4609,63,
485262,10,0,0,4847867,18177,53,
485278,10,0,0,4876471,104,71,
485294,10,0,0,4979415,14,70,
485310,10,0,0,5146879,18,10,
485326,10,0,0,5317784,30,23,
485342,10,0,0,5441813,129,33,
485358,10,0,0,5441813,484,2,
485374,10,0,0,5441813,1735,26,
485390,10,0,0,5686221,8705,25,
485406,10,0,0,6011622,21,37,
485422,10,0,0,7755831,23,67,
485438,10,0,0,7785825,2304,61,
485454,10,0,0,7908873,12801,76,
485470,10,0,0,8089861,256,50,
485486,10,0,0,8119792,384,74,
485502,10,0,0,8119792,2400,94,
485518,10,0,0,8270432,37,82,
485534,10,0,0,9116475,6657,36,
485550,10,0,0,9125709,21,81,
485566,10,0,0,9186401,14,97,
485582,10,0,0,9478136,1109,80,
485598,10,0,0,9478136,1711,83,
485614,10,0,0,9478136,2258,77,
485630,10,0,0,9568504,95,69,
485646,10,0,0,9568504,398,72,
485662,10,0,0,9568504,989,75,
485678,10,0,0,9593738,235,65,
