offset,treeDepth,rootNode,leafRecords,firstLeafNode,lastLeafNode,nodeSize,maxKeyLength,totalNodes,freeNodes,reserved1,clumpSize,btreeType,keyCompareType,attributes,
9398784,4,22947,634856,28682,3201,8192,266,98304,28618,0,268435456,0,0,6,
9640448,4,22947,634856,28682,3201,8192,266,98304,28618,0,268435456,0,0,6,
10656256,4,22947,634856,28682,3201,8192,266,98304,28618,0,268435456,0,0,6,
576512,4,22947,634856,28682,3201,8192,266,98304,28618,0,268435456,0,0,6,
1186816,4,22947,634860,28682,3201,8192,266,98304,28617,0,268435456,0,0,6,
1928192,4,22947,634857,28682,3201,8192,266,98304,28617,0,268435456,0,0,6,
2747392,4,22947,634857,28682,3201,8192,266,98304,28617,0,268435456,0,0,6,
3103744,4,22947,634857,28682,3201,8192,266,98304,28617,0,268435456,0,0,6,
3329024,4,22947,634857,28682,3201,8192,266,98304,28617,0,268435456,0,0,6,
3529728,4,22947,634857,28682,3201,8192,266,98304,28617,0,268435456,0,0,6,
3877888,4,22947,634857,28682,3201,8192,266,98304,28617,0,268435456,0,0,6,
4156416,4,22947,634857,28682,3201,8192,266,98304,28617,0,268435456,0,0,6,
4471808,4,22947,634857,28682,3201,8192,266,98304,28617,0,268435456,0,0,6,
5041152,4,22947,634857,28682,3201,8192,266,98304,28617,0,268435456,0,0,6,
5291008,4,22947,634857,28682,3201,8192,266,98304,28617,0,268435456,0,0,6,
5483520,4,22947,634857,28682,3201,8192,266,98304,28617,0,268435456,0,0,6,
5860352,4,22947,634857,28682,3201,8192,266,98304,28617,0,268435456,0,0,6,
7621632,4,22947,634857,28682,3201,8192,266,98304,28617,0,268435456,0,0,6,
8076288,4,22947,634857,28682,3201,8192,266,98304,28617,0,268435456,0,0,6,
8313856,4,22947,634857,28682,3201,8192,266,98304,28617,0,268435456,0,0,6,
8604672,4,22947,634857,28682,3201,8192,266,98304,28617,0,268435456,0,0,6,
