offset,signature,version,attributes,lastMountedVersion,journalInfoBlock,createDate,modifyDate,backupDate,checkedDate,fileCount,folderCount,blockSize,totalBlocks,freeBlocks,nextAllocation,rsrcClumpSize,dataClumpSize,nextCatalogID,writeCount,encodingsBitmap,finderInfo,allocationFile/logicalSize,allocationFile/clumpSize,allocationFile/totalBlocks,allocationFile/extents/extent0/startBlock,allocationFile/extents/extent0/blockCount,allocationFile/extents/extent1/startBlock,allocationFile/extents/extent1/blockCount,allocationFile/extents/extent2/startBlock,allocationFile/extents/extent2/blockCount,allocationFile/extents/extent3/startBlock,allocationFile/extents/extent3/blockCount,allocationFile/extents/extent4/startBlock,allocationFile/extents/extent4/blockCount,allocationFile/extents/extent5/startBlock,allocationFile/extents/extent5/blockCount,allocationFile/extents/extent6/startBlock,allocationFile/extents/extent6/blockCount,allocationFile/extents/extent7/startBlock,allocationFile/extents/extent7/blockCount,extentsFile/logicalSize,extentsFile/clumpSize,extentsFile/totalBlocks,extentsFile/extents/extent0/startBlock,extentsFile/extents/extent0/blockCount,extentsFile/extents/extent1/startBlock,extentsFile/extents/extent1/blockCount,extentsFile/extents/extent2/startBlock,extentsFile/extents/extent2/blockCount,extentsFile/extents/extent3/startBlock,extentsFile/extents/extent3/blockCount,extentsFile/extents/extent4/startBlock,extentsFile/extents/extent4/blockCount,extentsFile/extents/extent5/startBlock,extentsFile/extents/extent5/blockCount,extentsFile/extents/extent6/startBlock,extentsFile/extents/extent6/blockCount,extentsFile/extents/extent7/startBlock,extentsFile/extents/extent7/blockCount,catalogFile/logicalSize,catalogFile/clumpSize,catalogFile/totalBlocks,catalogFile/extents/extent0/startBlock,catalogFile/extents/extent0/blockCount,catalogFile/extents/extent1/startBlock,catalogFile/extents/extent1/blockCount,catalogFile/extents/extent2/startBlock,catalogFile/extents/extent2/blockCount,catalogFile/extents/extent3/startBlock,catalogFile/extents/extent3/blockCount,catalogFile/extents/extent4/startBlock,catalogFile/extents/extent4/blockCount,catalogFile/extents/extent5/startBlock,catalogFile/extents/extent5/blockCount,catalogFile/extents/extent6/startBlock,catalogFile/extents/extent6/blockCount,catalogFile/extents/extent7/startBlock,catalogFile/extents/extent7/blockCount,attributesFile/logicalSize,attributesFile/clumpSize,attributesFile/totalBlocks,attributesFile/extents/extent0/startBlock,attributesFile/extents/extent0/blockCount,attributesFile/extents/extent1/startBlock,attributesFile/extents/extent1/blockCount,attributesFile/extents/extent2/startBlock,attributesFile/extents/extent2/blockCount,attributesFile/extents/extent3/startBlock,attributesFile/extents/extent3/blockCount,attributesFile/extents/extent4/startBlock,attributesFile/extents/extent4/blockCount,attributesFile/extents/extent5/startBlock,attributesFile/extents/extent5/blockCount,attributesFile/extents/extent6/startBlock,attributesFile/extents/extent6/blockCount,attributesFile/extents/extent7/startBlock,attributesFile/extents/extent7/blockCount,startupFile/logicalSize,startupFile/clumpSize,startupFile/totalBlocks,startupFile/extents/extent0/startBlock,startupFile/extents/extent0/blockCount,startupFile/extents/extent1/startBlock,startupFile/extents/extent1/blockCount,startupFile/extents/extent2/startBlock,startupFile/extents/extent2/blockCount,startupFile/extents/extent3/startBlock,startupFile/extents/extent3/blockCount,startupFile/extents/extent4/startBlock,startupFile/extents/extent4/blockCount,startupFile/extents/extent5/startBlock,startupFile/extents/extent5/blockCount,startupFile/extents/extent6/startBlock,startupFile/extents/extent6/blockCount,startupFile/extents/extent7/startBlock,startupFile/extents/extent7/blockCount,
9386496,18475,4,2147491840,1212568394,7301597,3493497227,3507819785,0,3493522427,1375635,176356,4096,121826168,75362478,7532290,65536,65536,9568209,1954102312,35651835,"(795982, 9113154, 0, 0, 0, 795982, 3536133040, 2451936976)",30511104,30511104,7449,1,7449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11534336,11534336,2816,27931,2816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1073741824,268435456,262144,751643,262144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,805306368,268435456,196608,30747,196608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9628160,18475,4,2147491840,1212568394,7301597,3493497227,3507819799,0,3493522427,1375635,176356,4096,121826168,75362499,7632743,65536,65536,9568210,1954102346,35651835,"(795982, 9113154, 0, 0, 0, 795982, 3536133040, 2451936976)",30511104,30511104,7449,1,7449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11534336,11534336,2816,27931,2816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1073741824,268435456,262144,751643,262144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,805306368,268435456,196608,30747,196608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9824768,18475,4,2147491840,1212568394,7301597,3493497227,3507819799,0,3493522427,1375635,176356,4096,121826168,75362499,7632743,65536,65536,9568210,1954102347,35651835,"(795982, 9113154, 0, 0, 0, 795982, 3536133040, 2451936976)",30511104,30511104,7449,1,7449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11534336,11534336,2816,27931,2816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1073741824,268435456,262144,751643,262144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,805306368,268435456,196608,30747,196608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9939456,18475,4,2147491840,1212568394,7301597,3493497227,3507819815,0,3493522427,1375636,176356,4096,121826168,75362436,7499264,65536,65536,9568302,1954102914,35651835,"(795982, 9113154, 0, 0, 0, 795982, 3536133040, 2451936976)",30511104,30511104,7449,1,7449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11534336,11534336,2816,27931,2816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1073741824,268435456,262144,751643,262144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,805306368,268435456,196608,30747,196608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
527360,18475,4,2147491840,1212568394,7301597,3493497227,3507819845,0,3493522427,1375635,176356,4096,121826168,75362421,7538493,65536,65536,9568308,1954103011,35651835,"(795982, 9113154, 0, 0, 0, 795982, 3536133040, 2451936976)",30511104,30511104,7449,1,7449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11534336,11534336,2816,27931,2816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1073741824,268435456,262144,751643,262144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,805306368,268435456,196608,30747,196608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1133568,18475,4,2147491840,1212568394,7301597,3493497227,3507819875,0,3493522427,1375636,176359,4096,121826168,75362373,7730292,65536,65536,9568324,1954103254,35651835,"(795982, 9113154, 0, 0, 0, 795982, 3536133040, 2451936976)",30511104,30511104,7449,1,7449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11534336,11534336,2816,27931,2816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1073741824,268435456,262144,751643,262144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,805306368,268435456,196608,30747,196608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1489920,18475,4,2147491840,1212568394,7301597,3493497227,3507819905,0,3493522427,1375633,176360,4096,121826168,75362383,31260418,65536,65536,9568346,1954103959,35651835,"(795982, 9113154, 0, 0, 0, 795982, 3536133040, 2451936976)",30511104,30511104,7449,1,7449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11534336,11534336,2816,27931,2816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1073741824,268435456,262144,751643,262144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,805306368,268435456,196608,30747,196608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2317312,18475,4,2147491840,1212568394,7301597,3493497227,3507819935,0,3493522427,1375633,176360,4096,121826168,75362383,31260419,65536,65536,9568346,1954103982,35651835,"(795982, 9113154, 0, 0, 0, 795982, 3536133040, 2451936976)",30511104,30511104,7449,1,7449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11534336,11534336,2816,27931,2816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1073741824,268435456,262144,751643,262144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,805306368,268435456,196608,30747,196608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2735104,18475,4,2147491840,1212568394,7301597,3493497227,3507819965,0,3493522427,1375633,176360,4096,121826168,75361957,31359737,65536,65536,9568349,1954104186,35651835,"(795982, 9113154, 0, 0, 0, 795982, 3536133040, 2451936976)",30511104,30511104,7449,1,7449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11534336,11534336,2816,27931,2816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1073741824,268435456,262144,751643,262144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,805306368,268435456,196608,30747,196608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2952192,18475,4,2147491840,1212568394,7301597,3493497227,3507819995,0,3493522427,1375633,176410,4096,121826168,75362320,31391803,65536,65536,9568402,1954104275,35651835,"(795982, 9113154, 0, 0, 0, 795982, 3536133040, 2451936976)",30511104,30511104,7449,1,7449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11534336,11534336,2816,27931,2816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1073741824,268435456,262144,751643,262144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,805306368,268435456,196608,30747,196608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
