offset,keyLength,pad,fileID,startBlock,attrNameLen,attrName,nodeNumber,
642062,46,0,9111441,0,17,com.apple.decmpfs,70443,
642114,46,0,9111446,0,17,com.apple.decmpfs,70442,
642166,46,0,9111466,0,17,com.apple.decmpfs,70445,
642218,46,0,9111476,0,17,com.apple.decmpfs,70446,
642270,46,0,9111519,0,17,com.apple.decmpfs,862,
642322,52,0,9114475,0,20,com.apple.quarantine,872,
642380,52,0,9115019,0,20,com.apple.quarantine,888,
642438,52,0,9115792,0,20,com.apple.quarantine,912,
642496,52,0,9116376,0,20,com.apple.quarantine,929,
642554,46,0,9124282,0,17,com.apple.decmpfs,938,
642606,52,0,9125785,0,20,com.apple.quarantine,955,
642664,52,0,9126052,0,20,com.apple.quarantine,995,
642722,52,0,9126901,0,20,com.apple.quarantine,1047,
642780,52,0,9127715,0,20,com.apple.quarantine,1056,
642838,52,0,9128161,0,20,com.apple.quarantine,1091,
642896,52,0,9128874,0,20,com.apple.quarantine,786,
642954,52,0,9130381,0,20,com.apple.quarantine,1473,
643012,52,0,9131677,0,20,com.apple.quarantine,1784,
643070,52,0,9132177,0,20,com.apple.quarantine,1138,
643128,62,0,9132463,0,25,com.apple.system.Security,1785,
643196,52,0,9132775,0,20,com.apple.quarantine,1786,
643254,52,0,9135493,0,20,com.apple.quarantine,1792,
643312,52,0,9137185,0,20,com.apple.quarantine,1903,
643370,52,0,9138706,0,20,com.apple.quarantine,2121,
643428,52,0,9140351,0,20,com.apple.quarantine,2122,
643486,52,0,9143967,0,20,com.apple.quarantine,2207,
643544,52,0,9144695,0,20,com.apple.quarantine,2225,
643602,52,0,9145889,0,20,com.apple.quarantine,2230,
643660,52,0,9147250,0,20,com.apple.quarantine,2237,
643718,52,0,9147922,0,20,com.apple.quarantine,2243,
643776,52,0,9149145,0,20,com.apple.quarantine,2247,
643834,52,0,9149712,0,20,com.apple.quarantine,2254,
643892,52,0,9150372,0,20,com.apple.quarantine,2244,
643950,52,0,9150530,0,20,com.apple.quarantine,2262,
644008,52,0,9150927,0,20,com.apple.quarantine,2269,
644066,52,0,9151062,0,20,com.apple.quarantine,2273,
644124,52,0,9151778,0,20,com.apple.quarantine,2280,
644182,52,0,9151903,0,20,com.apple.quarantine,2287,
644240,52,0,9152641,0,20,com.apple.quarantine,2294,
644298,52,0,9153439,0,20,com.apple.quarantine,2301,
644356,52,0,9154786,0,20,com.apple.quarantine,2308,
644414,52,0,9159325,0,20,com.apple.quarantine,1472,
644472,52,0,9162931,0,20,com.apple.quarantine,2315,
644530,52,0,9165230,0,20,com.apple.quarantine,2324,
644588,52,0,9165943,0,20,com.apple.quarantine,2827,
644646,52,0,9167545,0,20,com.apple.quarantine,3194,
644704,52,0,9176821,0,20,com.apple.quarantine,1108,
644762,52,0,9181569,0,20,com.apple.quarantine,3196,
644820,52,0,9182329,0,20,com.apple.quarantine,3193,
644878,52,0,9182942,0,20,com.apple.quarantine,3198,
644936,52,0,9183114,0,20,com.apple.quarantine,3197,
644994,52,0,9183587,0,20,com.apple.quarantine,3199,
645052,52,0,9184140,0,20,com.apple.quarantine,3200,
645110,52,0,9184846,0,20,com.apple.quarantine,3202,
645168,52,0,9185864,0,20,com.apple.quarantine,82,
645226,46,0,9186704,0,17,com.apple.decmpfs,1030,
645278,52,0,9191979,0,20,com.apple.quarantine,3203,
645336,52,0,9475021,0,20,com.apple.quarantine,3204,
645394,82,0,9475214,0,35,com.apple.iwork.documentUUID.synced,3205,
645482,52,0,9477521,0,20,com.apple.quarantine,3207,
645540,52,0,9477877,0,20,com.apple.quarantine,3195,
645598,52,0,9517896,0,20,com.apple.quarantine,3208,
645656,52,0,9522249,0,20,com.apple.quarantine,3209,
645714,52,0,9523098,0,20,com.apple.quarantine,196,
645772,82,0,9524686,0,35,com.apple.iwork.documentUUID.synced,180,
645860,52,0,9525785,0,20,com.apple.quarantine,705,
645918,84,0,9529716,0,36,com.apple.metadata:kMDItemWhereFroms,4233,
646008,98,0,9529734,0,43,com.apple.metadata:kMDItemScreenCaptureType,3830,
646112,52,0,9529787,0,20,com.apple.quarantine,4201,
646170,52,0,9529891,0,20,com.apple.quarantine,4232,
646228,52,0,9529972,0,20,com.apple.quarantine,4935,
646286,46,0,9532593,0,17,com.apple.decmpfs,4937,
646338,56,0,9567865,0,22,com.apple.TextEncoding,3201,
1338382,46,0,9111441,0,17,com.apple.decmpfs,70443,
1338434,46,0,9111446,0,17,com.apple.decmpfs,70442,
1338486,46,0,9111466,0,17,com.apple.decmpfs,70445,
1338538,46,0,9111476,0,17,com.apple.decmpfs,70446,
1338590,46,0,9111519,0,17,com.apple.decmpfs,862,
1338642,52,0,9114475,0,20,com.apple.quarantine,872,
1338700,52,0,9115019,0,20,com.apple.quarantine,888,
1338758,52,0,9115792,0,20,com.apple.quarantine,912,
1338816,52,0,9116376,0,20,com.apple.quarantine,929,
1338874,46,0,9124282,0,17,com.apple.decmpfs,938,
1338926,52,0,9125785,0,20,com.apple.quarantine,955,
1338984,52,0,9126052,0,20,com.apple.quarantine,995,
1339042,52,0,9126901,0,20,com.apple.quarantine,1047,
