offset,keyLength,parentID,nodeName/nameLen,nodeName/nodeUnicode,nodeNumber,
10680846,78,3335031,36,4B4756E7-16BB-4310-906D-73E746C21F33,3035,
10680930,78,3335031,36,814FAE42-F211-441C-B9D1-0C7DE586E8CC,69019,
10681014,78,3335031,36,A4A17425-A945-4A96-8D47-9103B688BCE0,32633,
10681098,78,3335031,36,D373D677-E4C9-47F6-A1F4-CBDEFC215871,68898,
10681182,78,3335031,36,E9DA838E-0363-4B09-9902-BB99A0189D60,68934,
10681266,6,3335105,0,,68980,
10681278,6,3335294,0,,69034,
10681290,6,3335328,0,,69057,
10681302,6,3335400,0,,75983,
10681314,86,3335401,40,44DDC294-9976-4257-B83B-88BC3F084A9E.ics,3193,
10681406,86,3335401,40,62868031-735B-4FFE-9BDA-0ED2B91F6B18.ics,69081,
10681498,86,3335401,40,761A3942-2527-4A10-83E4-B540FF2BA904.ics,75984,
10681590,86,3335401,40,9C618966-D973-4322-AAB8-B62EEB200BC5.ics,75982,
10681682,86,3335401,40,B08D2114-B151-46EC-A8EA-39D3D1DADAF3.ics,69069,
10681774,86,3335401,40,C9413617-3AB6-49B8-95A2-7FC98065458D.ics,3165,
10681866,86,3335401,40,E6DAF9EE-BE0C-45F4-AAB8-B0D265304F27.ics,71006,
10681958,6,3335403,0,,69067,
10681970,6,3335502,0,,69086,
10681982,58,3335502,26,EventAllDayAlarms.icsalarm,69139,
10682046,6,3336181,0,,69170,
10682058,28,3336634,11,__pycache__,69179,
10682092,6,3336823,0,,69198,
10682104,6,3338688,0,,69200,
10682116,6,3340426,0,,69203,
10682128,68,3340435,31,transaction1_113(sector0x27150),69233,
10682202,62,3340435,28,transaction1_136(sector0x68),69236,
10682270,68,3340435,31,transaction1_159(sector0x27170),69238,
10682344,68,3340435,31,transaction1_177(sector0x27150),69186,
10682418,58,3340435,26,transaction1_2(sector0x38),69245,
10682482,60,3340435,27,transaction1_221(sector0x2),69259,
10682548,62,3340435,28,transaction1_244(sector0x58),69265,
10682616,68,3340435,31,transaction1_267(sector0x27100),69299,
10682690,62,3340435,28,transaction1_288(sector0x58),69241,
10682758,66,3340435,30,transaction1_31(sector0x27150),69302,
10682830,68,3340435,31,transaction1_332(sector0x27190),70961,
10682904,68,3340435,31,transaction1_344(sector0x27130),69184,
10682978,66,3340435,30,transaction1_43(sector0x27170),69193,
