offset,treeDepth,rootNode,leafRecords,firstLeafNode,lastLeafNode,nodeSize,maxKeyLength,totalNodes,freeNodes,reserved1,clumpSize,btreeType,keyCompareType,attributes,
3338240,4,26201,3104366,28056,40832,8192,516,131072,40545,0,268435456,0,207,6,
3497984,4,26201,3104366,28056,40832,8192,516,131072,40545,0,268435456,0,207,6,
3649536,4,26201,3104366,28056,40832,8192,516,131072,40545,0,268435456,0,207,6,
3801088,4,26201,3104366,28056,40832,8192,516,131072,40545,0,268435456,0,207,6,
3956736,4,26201,3104366,28056,40832,8192,516,131072,40545,0,268435456,0,207,6,
4108288,4,26201,3104366,28056,40832,8192,516,131072,40545,0,268435456,0,207,6,
4259840,4,26201,3104366,28056,40832,8192,516,131072,40545,0,268435456,0,207,6,
4407296,4,26201,3104366,28056,40832,8192,516,131072,40545,0,268435456,0,207,6,
4575232,4,26201,3104366,28056,40832,8192,516,131072,40545,0,268435456,0,207,6,
4907008,4,26201,3104366,28056,40832,8192,516,131072,40545,0,268435456,0,207,6,
5074944,4,26201,3104366,28056,40832,8192,516,131072,40545,0,268435456,0,207,6,
5246976,4,26201,3104366,28056,40832,8192,516,131072,40545,0,268435456,0,207,6,
5414912,4,26201,3104366,28056,40832,8192,516,131072,40545,0,268435456,0,207,6,
5586944,4,26201,3104366,28056,40832,8192,516,131072,40545,0,268435456,0,207,6,
5754880,4,26201,3104366,28056,40832,8192,516,131072,40545,0,268435456,0,207,6,
5922816,4,26201,3104366,28056,40832,8192,516,131072,40545,0,268435456,0,207,6,
6090752,4,26201,3104366,28056,40832,8192,516,131072,40545,0,268435456,0,207,6,
6234112,4,26201,3104366,28056,40832,8192,516,131072,40545,0,268435456,0,207,6,
6373376,4,26201,3104366,28056,40832,8192,516,131072,40545,0,268435456,0,207,6,
6512640,4,26201,3104366,28056,40832,8192,516,131072,40545,0,268435456,0,207,6,
6647808,4,26201,3104366,28056,40832,8192,516,131072,40545,0,268435456,0,207,6,
6782976,4,26201,3104366,28056,40832,8192,516,131072,40545,0,268435456,0,207,6,
6918144,4,26201,3104366,28056,40832,8192,516,131072,40545,0,268435456,0,207,6,
7053312,4,26201,3104366,28056,40832,8192,516,131072,40545,0,268435456,0,207,6,
7188480,4,26201,3104366,28056,40832,8192,516,131072,40545,0,268435456,0,207,6,
7323648,4,26201,3104366,28056,40832,8192,516,131072,40545,0,268435456,0,207,6,
7462912,4,26201,3104366,28056,40832,8192,516,131072,40545,0,268435456,0,207,6,
7602176,4,26201,3104366,28056,40832,8192,516,131072,40545,0,268435456,0,207,6,
7737344,4,26201,3104366,28056,40832,8192,516,131072,40545,0,268435456,0,207,6,
7872512,4,26201,3104366,28056,40832,8192,516,131072,40545,0,268435456,0,207,6,
8007680,4,26201,3104366,28056,40832,8192,516,131072,40545,0,268435456,0,207,6,
8142848,4,26201,3104366,28056,40832,8192,516,131072,40545,0,268435456,0,207,6,
8282112,4,26201,3104366,28056,40832,8192,516,131072,40545,0,268435456,0,207,6,
8421376,4,26201,3104366,28056,40832,8192,516,131072,40545,0,268435456,0,207,6,
8589312,4,26201,3104366,28056,40832,8192,516,131072,40545,0,268435456,0,207,6,
8724480,4,26201,3104366,28056,40832,8192,516,131072,40545,0,268435456,0,207,6,
8867840,4,26201,3104366,28056,40832,8192,516,131072,40545,0,268435456,0,207,6,
9015296,4,26201,3104366,28056,40832,8192,516,131072,40545,0,268435456,0,207,6,
9150464,4,26201,3104366,28056,40832,8192,516,131072,40545,0,268435456,0,207,6,
9285632,4,26201,3104366,28056,40832,8192,516,131072,40545,0,268435456,0,207,6,
9420800,4,26201,3104366,28056,40832,8192,516,131072,40545,0,268435456,0,207,6,
9555968,4,26201,3104366,28056,40832,8192,516,131072,40545,0,268435456,0,207,6,
9687040,4,26201,3104366,28056,40832,8192,516,131072,40545,0,268435456,0,207,6,
9822208,4,26201,3104366,28056,40832,8192,516,131072,40545,0,268435456,0,207,6,
9957376,4,26201,3104366,28056,40832,8192,516,131072,40545,0,268435456,0,207,6,
10092544,4,26201,3104366,28056,40832,8192,516,131072,40545,0,268435456,0,207,6,
10227712,4,26201,3104366,28056,40832,8192,516,131072,40545,0,268435456,0,207,6,
10362880,4,26201,3104366,28056,40832,8192,516,131072,40545,0,268435456,0,207,6,
10502144,4,26201,3104366,28056,40832,8192,516,131072,40545,0,268435456,0,207,6,
147968,4,26201,3104366,28056,40832,8192,516,131072,40545,0,268435456,0,207,6,
283136,4,26201,3104366,28056,40832,8192,516,131072,40545,0,268435456,0,207,6,
418304,4,26201,3104366,28056,40832,8192,516,131072,40545,0,268435456,0,207,6,
557568,4,26201,3104366,28056,40832,8192,516,131072,40545,0,268435456,0,207,6,
696832,4,26201,3104366,28056,40832,8192,516,131072,40545,0,268435456,0,207,6,
832000,4,26201,3104366,28056,40832,8192,516,131072,40545,0,268435456,0,207,6,
