offset,treeDepth,rootNode,leafRecords,firstLeafNode,lastLeafNode,nodeSize,maxKeyLength,totalNodes,freeNodes,reserved1,clumpSize,btreeType,keyCompareType,attributes,
3371008,2,3,2424,8,65,4096,10,2816,2728,0,11534336,0,0,2,
3526656,2,3,2425,8,65,4096,10,2816,2728,0,11534336,0,0,2,
3686400,2,3,2426,8,65,4096,10,2816,2728,0,11534336,0,0,2,
3842048,2,3,2427,8,65,4096,10,2816,2728,0,11534336,0,0,2,
3989504,2,3,2428,8,65,4096,10,2816,2728,0,11534336,0,0,2,
4141056,2,3,2430,8,65,4096,10,2816,2728,0,11534336,0,0,2,
4296704,2,3,2431,8,65,4096,10,2816,2728,0,11534336,0,0,2,
4444160,2,3,2432,8,65,4096,10,2816,2728,0,11534336,0,0,2,
4931584,2,3,2433,8,65,4096,10,2816,2728,0,11534336,0,0,2,
5103616,2,3,2435,8,65,4096,10,2816,2728,0,11534336,0,0,2,
5304320,2,3,2436,8,65,4096,10,2816,2728,0,11534336,0,0,2,
5459968,2,3,2437,8,65,4096,10,2816,2728,0,11534336,0,0,2,
5623808,2,3,2438,8,65,4096,10,2816,2728,0,11534336,0,0,2,
5808128,2,3,2439,8,65,4096,10,2816,2728,0,11534336,0,0,2,
5980160,2,3,2440,8,65,4096,10,2816,2728,0,11534336,0,0,2,
6123520,2,3,2441,8,65,4096,10,2816,2728,0,11534336,0,0,2,
6262784,2,3,2443,8,65,4096,10,2816,2728,0,11534336,0,0,2,
6402048,2,3,2444,8,65,4096,10,2816,2728,0,11534336,0,0,2,
6537216,2,3,2446,8,65,4096,10,2816,2728,0,11534336,0,0,2,
6672384,2,3,2447,8,65,4096,10,2816,2728,0,11534336,0,0,2,
6807552,2,3,2449,8,65,4096,10,2816,2728,0,11534336,0,0,2,
6942720,2,3,2450,8,65,4096,10,2816,2728,0,11534336,0,0,2,
7077888,2,3,2451,8,65,4096,10,2816,2728,0,11534336,0,0,2,
7213056,2,3,2452,8,65,4096,10,2816,2728,0,11534336,0,0,2,
7348224,2,3,2453,8,65,4096,10,2816,2728,0,11534336,0,0,2,
7491584,2,3,2454,8,65,4096,10,2816,2728,0,11534336,0,0,2,
7626752,2,3,2456,8,65,4096,10,2816,2728,0,11534336,0,0,2,
7761920,2,3,2457,8,65,4096,10,2816,2728,0,11534336,0,0,2,
7897088,2,3,2458,8,65,4096,10,2816,2728,0,11534336,0,0,2,
8032256,2,3,2459,8,65,4096,10,2816,2728,0,11534336,0,0,2,
8167424,2,3,2460,8,65,4096,10,2816,2728,0,11534336,0,0,2,
8310784,2,3,2461,8,65,4096,10,2816,2728,0,11534336,0,0,2,
8478720,2,3,2462,8,65,4096,10,2816,2728,0,11534336,0,0,2,
8609792,2,3,2463,8,65,4096,10,2816,2728,0,11534336,0,0,2,
8757248,2,3,2465,8,65,4096,10,2816,2728,0,11534336,0,0,2,
8892416,2,3,2466,8,65,4096,10,2816,2727,0,11534336,0,0,2,
9039872,2,3,2467,8,65,4096,10,2816,2727,0,11534336,0,0,2,
9175040,2,3,2468,8,65,4096,10,2816,2727,0,11534336,0,0,2,
9310208,2,3,2469,8,65,4096,10,2816,2727,0,11534336,0,0,2,
9445376,2,3,2470,8,65,4096,10,2816,2727,0,11534336,0,0,2,
9711616,2,3,2472,8,65,4096,10,2816,2727,0,11534336,0,0,2,
9846784,2,3,2473,8,65,4096,10,2816,2727,0,11534336,0,0,2,
9981952,2,3,2474,8,65,4096,10,2816,2727,0,11534336,0,0,2,
10113024,2,3,2475,8,65,4096,10,2816,2727,0,11534336,0,0,2,
10252288,2,3,2476,8,65,4096,10,2816,2727,0,11534336,0,0,2,
10387456,2,3,2477,8,65,4096,10,2816,2727,0,11534336,0,0,2,
10522624,2,3,2478,8,65,4096,10,2816,2727,0,11534336,0,0,2,
172544,2,3,2479,8,65,4096,10,2816,2727,0,11534336,0,0,2,
307712,2,3,2481,8,65,4096,10,2816,2727,0,11534336,0,0,2,
446976,2,3,2482,8,65,4096,10,2816,2727,0,11534336,0,0,2,
586240,2,3,2483,8,65,4096,10,2816,2727,0,11534336,0,0,2,
721408,2,3,2485,8,65,4096,10,2816,2727,0,11534336,0,0,2,
856576,2,3,2486,8,65,4096,10,2816,2727,0,11534336,0,0,2,
995840,2,3,2487,8,65,4096,10,2816,2727,0,11534336,0,0,2,
1131008,2,3,2489,8,65,4096,10,2816,2727,0,11534336,0,0,2,
1274368,2,3,2490,8,65,4096,10,2816,2727,0,11534336,0,0,2,
1409536,2,3,2491,8,65,4096,10,2816,2727,0,11534336,0,0,2,
1544704,2,3,2493,8,65,4096,10,2816,2727,0,11534336,0,0,2,
