offset,keyLength,forkType,pad,fileID,startBlock,nodeNumber,
5677582,10,0,0,402815,33,8,
5677598,10,0,0,407247,948,96,
5677614,10,0,0,407786,1289,27,
5677630,10,0,0,408683,11,48,
5677646,10,0,0,410900,219,56,
5677662,10,0,0,638080,672,15,
5677678,10,0,0,795960,625,68,
5677694,10,0,0,1196999,50,40,
5677710,10,0,0,1199436,480,73,
5677726,10,0,0,1199659,51,13,
5677742,10,0,0,1200073,2644,18,
5677758,10,0,0,1200073,29357,66,
5677774,10,0,0,1200073,86693,38,
5677790,10,0,0,1434760,38,14,
5677806,10,0,0,1483266,864,7,
5677822,10,0,0,1483452,1472,4,
5677838,10,0,0,1512805,1037,5,
5677854,10,0,0,1544835,837,9,
5677870,10,0,0,1582853,67,12,
5677886,10,0,0,2032360,171,17,
5677902,10,0,0,2618791,370,6,
5677918,10,0,0,2618791,1855,20,
5677934,10,0,0,2618791,6348,42,
5677950,10,0,0,2618791,8978,44,
5677966,10,0,0,2618791,9774,41,
5677982,10,0,0,2618791,10332,45,
5677998,10,0,0,2618791,10867,47,
5678014,10,0,0,2618791,11559,49,
5678030,10,0,0,2618791,12262,16,
5678046,10,0,0,2830693,35,21,
5678062,10,0,0,3115031,8449,24,
5678078,10,0,0,3228504,8132,19,
5678094,10,0,0,3260872,116225,30,
5678110,10,0,0,3482647,13,32,
5678126,10,0,0,3634591,97,1,
5678142,10,0,0,3636366,38,35,
5678158,10,0,0,3636456,2851,11,
5678174,10,0,0,4191345,22,28,
5678190,10,0,0,4193707,411648,43,
5678206,10,0,0,4228744,349573,52,
5678222,10,0,0,4248376,214,51,
5678238,10,0,0,4248376,1595,39,
5678254,10,0,0,4248376,4945,29,
5678270,10,0,0,4248376,5978,34,
5678286,10,0,0,4248376,6530,54,
5678302,10,0,0,4306998,288,57,
5678318,10,0,0,4306999,256,58,
5678334,10,0,0,4361894,76289,60,
5678350,10,0,0,4389458,99841,59,
5678366,10,0,0,4403562,47,31,
5678382,10,0,0,4532913,25856,22,
5678398,10,0,0,4536011,84480,62,
5678414,10,0,0,4599965,21,55,
5678430,10,0,0,4608893,104448,64,
5678446,10,0,0,4658772,4609,63,
5678462,10,0,0,4847867,18177,53,
5678478,10,0,0,4876471,104,71,
