offset,treeDepth,rootNode,leafRecords,firstLeafNode,lastLeafNode,nodeSize,maxKeyLength,totalNodes,freeNodes,reserved1,clumpSize,btreeType,keyCompareType,attributes,
4080128,2,3,2498,8,65,4096,10,2816,2727,0,11534336,0,0,2,
4235776,2,3,2499,8,65,4096,10,2816,2727,0,11534336,0,0,2,
4383232,2,3,2500,8,65,4096,10,2816,2727,0,11534336,0,0,2,
4567552,2,3,2502,8,65,4096,10,2816,2727,0,11534336,0,0,2,
4805120,2,3,2503,8,65,4096,10,2816,2727,0,11534336,0,0,2,
4964864,2,3,2504,8,65,4096,10,2816,2727,0,11534336,0,0,2,
5136896,2,3,2505,8,65,4096,10,2816,2727,0,11534336,0,0,2,
5304832,2,3,2506,8,65,4096,10,2816,2727,0,11534336,0,0,2,
5685760,2,3,2507,8,65,4096,10,2816,2727,0,11534336,0,0,2,
5861888,2,3,2508,8,65,4096,10,2816,2727,0,11534336,0,0,2,
6058496,2,3,2509,8,65,4096,10,2816,2727,0,11534336,0,0,2,
6398464,2,3,2510,8,65,4096,10,2816,2727,0,11534336,0,0,2,
6578688,2,3,2511,8,65,4096,10,2816,2727,0,11534336,0,0,2,
6738432,2,3,2512,8,65,4096,10,2816,2727,0,11534336,0,0,2,
6894080,2,3,2514,8,65,4096,10,2816,2727,0,11534336,0,0,2,
7217664,2,3,2515,8,65,4096,10,2816,2727,0,11534336,0,0,2,
7377408,2,3,2516,8,65,4096,10,2816,2727,0,11534336,0,0,2,
7545344,2,3,2517,8,65,4096,10,2816,2727,0,11534336,0,0,2,
7836160,2,3,2518,8,65,4096,10,2816,2727,0,11534336,0,0,2,
8000000,2,3,2519,8,65,4096,10,2816,2726,0,11534336,0,0,2,
8163840,2,3,2520,8,65,4096,10,2816,2726,0,11534336,0,0,2,
8303104,2,3,2521,8,65,4096,10,2816,2726,0,11534336,0,0,2,
8442368,2,3,2522,8,65,4096,10,2816,2726,0,11534336,0,0,2,
8577536,2,3,2523,8,65,4096,10,2816,2726,0,11534336,0,0,2,
8712704,2,3,2524,8,65,4096,10,2816,2726,0,11534336,0,0,2,
8851968,2,3,2525,8,65,4096,10,2816,2726,0,11534336,0,0,2,
8991232,2,3,2526,8,65,4096,10,2816,2726,0,11534336,0,0,2,
9183744,2,3,2527,8,65,4096,10,2816,2726,0,11534336,0,0,2,
9318912,2,3,2529,8,65,4096,10,2816,2726,0,11534336,0,0,2,
9499136,2,3,2530,8,65,4096,10,2816,2726,0,11534336,0,0,2,
9634304,2,3,2531,8,65,4096,10,2816,2726,0,11534336,0,0,2,
9769472,2,3,2532,8,65,4096,10,2816,2726,0,11534336,0,0,2,
9912832,2,3,2533,8,65,4096,10,2816,2726,0,11534336,0,0,2,
10048000,2,3,2534,8,65,4096,10,2816,2726,0,11534336,0,0,2,
10482176,2,3,2536,8,65,4096,10,2816,2726,0,11534336,0,0,2,
168960,2,3,2537,8,65,4096,10,2816,2726,0,11534336,0,0,2,
320512,2,3,2538,8,65,4096,10,2816,2726,0,11534336,0,0,2,
472064,2,3,2539,8,65,4096,10,2816,2726,0,11534336,0,0,2,
1721344,2,3,2540,8,65,4096,10,2816,2726,0,11534336,0,0,2,
2814976,2,3,2541,8,65,4096,10,2816,2726,0,11534336,0,0,2,
3453952,2,3,2542,8,65,4096,10,2816,2726,0,11534336,0,0,2,
