offset,keyLength,forkType,pad,fileID,startBlock,extent0/startBlock,extent0/blockCount,extent1/startBlock,extent1/blockCount,extent2/startBlock,extent2/blockCount,extent3/startBlock,extent3/blockCount,extent4/startBlock,extent4/blockCount,extent5/startBlock,extent5/blockCount,extent6/startBlock,extent6/blockCount,extent7/startBlock,extent7/blockCount,
5092878,10,0,0,13810,135246,57018,26,57080,1,57098,3,57105,1,57111,19,57131,1,655360,13810,137134,57148,
5092954,10,0,0,13810,137134,57158,1,57160,2,57163,2,57166,2,57185,1,57189,1,655360,13810,137149,65538,
5093030,10,0,0,13810,137149,65709,3,65716,1,65735,29,73331,8,97374,24,97564,381,655360,13810,137698,97946,
5093106,10,0,0,13810,137698,131714,564,229428,1,231336,16,231387,7,232765,1,276754,2,655360,13810,138659,281824,
5093182,10,0,0,13810,138659,294168,2,441271,4,442299,4,508993,4,589614,213,589837,2,655360,13810,138892,589840,
5093258,10,0,0,13810,138892,590150,5,590156,1,590283,145,622845,60,622972,2,818438,769,0,0,0,0,
