offset,treeDepth,rootNode,leafRecords,firstLeafNode,lastLeafNode,nodeSize,maxKeyLength,totalNodes,freeNodes,reserved1,clumpSize,btreeType,keyCompareType,attributes,
5326848,3,151,27290,708,1,8192,516,1024,314,0,8388608,0,207,6,
5943296,3,151,27294,708,1,8192,516,1024,314,0,8388608,0,207,6,
6214656,3,151,27296,708,1,8192,516,1024,314,0,8388608,0,207,6,
7315968,3,151,27304,708,1,8192,516,1024,314,0,8388608,0,207,6,
7603712,3,151,27302,708,1,8192,516,1024,314,0,8388608,0,207,6,
636416,3,151,27294,708,1,8192,516,1024,314,0,8388608,0,207,6,
956928,3,151,27296,708,1,8192,516,1024,314,0,8388608,0,207,6,
1079808,3,151,27322,708,1,8192,516,1024,314,0,8388608,0,207,6,
1347072,3,151,27338,708,1,8192,516,1024,314,0,8388608,0,207,6,
2231296,3,151,27340,708,1,8192,516,1024,314,0,8388608,0,207,6,
2813440,3,151,27326,708,1,8192,516,1024,314,0,8388608,0,207,6,
3339776,3,151,27342,708,1,8192,516,1024,314,0,8388608,0,207,6,
3491328,3,151,27324,708,1,8192,516,1024,314,0,8388608,0,207,6,
4009472,3,151,27326,708,1,8192,516,1024,314,0,8388608,0,207,6,
