offset,treeDepth,rootNode,leafRecords,firstLeafNode,lastLeafNode,nodeSize,maxKeyLength,totalNodes,freeNodes,reserved1,clumpSize,btreeType,keyCompareType,attributes,
3821056,4,26201,3104116,28056,40832,8192,516,131072,40550,0,268435456,0,207,6,
3964416,4,26201,3104116,28056,40832,8192,516,131072,40550,0,268435456,0,207,6,
4120064,4,26201,3104116,28056,40832,8192,516,131072,40550,0,268435456,0,207,6,
4259328,4,26201,3104116,28056,40832,8192,516,131072,40550,0,268435456,0,207,6,
4394496,4,26201,3104116,28056,40832,8192,516,131072,40550,0,268435456,0,207,6,
4533760,4,26201,3104116,28056,40832,8192,516,131072,40550,0,268435456,0,207,6,
4673024,4,26201,3104116,28056,40832,8192,516,131072,40550,0,268435456,0,207,6,
4812288,4,26201,3104116,28056,40832,8192,516,131072,40550,0,268435456,0,207,6,
4951552,4,26201,3104116,28056,40832,8192,516,131072,40550,0,268435456,0,207,6,
5090816,4,26201,3104116,28056,40832,8192,516,131072,40550,0,268435456,0,207,6,
5230080,4,26201,3104116,28056,40832,8192,516,131072,40550,0,268435456,0,207,6,
5369344,4,26201,3104116,28056,40832,8192,516,131072,40550,0,268435456,0,207,6,
5508608,4,26201,3104116,28056,40832,8192,516,131072,40550,0,268435456,0,207,6,
5647872,4,26201,3104116,28056,40832,8192,516,131072,40550,0,268435456,0,207,6,
5783040,4,26201,3104116,28056,40832,8192,516,131072,40550,0,268435456,0,207,6,
5922304,4,26201,3104116,28056,40832,8192,516,131072,40550,0,268435456,0,207,6,
6061568,4,26201,3104116,28056,40832,8192,516,131072,40550,0,268435456,0,207,6,
6204928,4,26201,3104116,28056,40832,8192,516,131072,40550,0,268435456,0,207,6,
6348288,4,26201,3104116,28056,40832,8192,516,131072,40550,0,268435456,0,207,6,
6491648,4,26201,3104116,28056,40832,8192,516,131072,40550,0,268435456,0,207,6,
6626816,4,26201,3104116,28056,40832,8192,516,131072,40550,0,268435456,0,207,6,
6766080,4,26201,3104116,28056,40832,8192,516,131072,40550,0,268435456,0,207,6,
